Joint1,Joint2,Joint3,Joint4,X,Y,Z,R
0,45,-9.9,-0.0518,299.9705,0,120.733,-0.0518
0,45,-9.8,-0.0518,300.0144,0,120.4802,-0.0518
0,45,-9.7,-0.0518,300.0578,0,120.2273,-0.0518
0,45,-9.6,-0.0518,300.1008,0,119.9744,-0.0518
0,45,-9.5,-0.0518,300.1434,0,119.7214,-0.0518
0,45,-9.4,-0.0518,300.1855,0,119.4683,-0.0518
0,45,-9.3,-0.0518,300.2272,0,119.2152,-0.0518
0,45,-9.2,-0.0518,300.2685,0,118.9619,-0.0518
0,45,-9.1,-0.0518,300.3092,0,118.7086,-0.0518
0,45,-9,-0.0518,300.3496,0,118.4553,-0.0518
0,45,-8.9,-0.0518,300.3895,0,118.2018,-0.0518
0,45,-8.8,-0.0518,300.429,0,117.9483,-0.0518
0,45,-8.7,-0.0518,300.468,0,117.6947,-0.0518
0,45,-8.6,-0.0518,300.5066,0,117.4411,-0.0518
0,45,-8.5,-0.0518,300.5447,0,117.1874,-0.0518
0,45,-8.4,-0.0518,300.5825,0,116.9336,-0.0518
0,45,-8.3,-0.0518,300.6197,0,116.6798,-0.0518
0,45,-8.2,-0.0518,300.6565,0,116.4259,-0.0518
0,45,-8.1,-0.0518,300.6929,0,116.1719,-0.0518
0,45,-8,-0.0518,300.7288,0,115.9179,-0.0518
0,45,-7.9,-0.0518,300.7643,0,115.6638,-0.0518
0,45,-7.8,-0.0518,300.7993,0,115.4096,-0.0518
0,45,-7.7,-0.0518,300.834,0,115.1554,-0.0518
0,45,-7.6,-0.0518,300.8681,0,114.9011,-0.0518
0,45,-7.5,-0.0518,300.9018,0,114.6468,-0.0518
0,45,-7.4,-0.0518,300.9351,0,114.3924,-0.0518
0,45,-7.3,-0.0518,300.9679,0,114.1379,-0.0518
0,45,-7.2,-0.0518,301.0003,0,113.8834,-0.0518
0,45,-7.1,-0.0518,301.0322,0,113.6288,-0.0518
0,45,-7,-0.0518,301.0637,0,113.3742,-0.0518
0,45,-6.9,-0.0518,301.0948,0,113.1195,-0.0518
0,45,-6.8,-0.0518,301.1253,0,112.8648,-0.0518
0,45,-6.7,-0.0518,301.1555,0,112.61,-0.0518
0,45,-6.6,-0.0518,301.1852,0,112.3552,-0.0518
0,45,-6.5,-0.0518,301.2145,0,112.1003,-0.0518
0,45,-6.4,-0.0518,301.2433,0,111.8453,-0.0518
0,45,-6.3,-0.0518,301.2717,0,111.5904,-0.0518
0,45,-6.2,-0.0518,301.2996,0,111.3353,-0.0518
0,45,-6.1,-0.0518,301.3271,0,111.0802,-0.0518
0,45,-6,-0.0518,301.3541,0,110.8251,-0.0518
0,45,-5.9,-0.0518,301.3807,0,110.5699,-0.0518
0,45,-5.8,-0.0518,301.4069,0,110.3147,-0.0518
0,45,-5.7,-0.0518,301.4326,0,110.0594,-0.0518
0,45,-5.6,-0.0518,301.4579,0,109.8041,-0.0518
0,45,-5.5,-0.0518,301.4827,0,109.5487,-0.0518
0,45,-5.4,-0.0518,301.507,0,109.2933,-0.0518
0,45,-5.3,-0.0518,301.5309,0,109.0379,-0.0518
0,45,-5.2,-0.0518,301.5544,0,108.7824,-0.0518
0,45,-5.1,-0.0518,301.5775,0,108.5269,-0.0518
0,45,-5,-0.0518,301.6,0,108.2713,-0.0518
0,45,-4.9,-0.0518,301.6222,0,108.0157,-0.0518
0,45,-4.8,-0.0518,301.6439,0,107.7601,-0.0518
0,45,-4.7,-0.0518,301.6651,0,107.5044,-0.0518
0,45,-4.6,-0.0518,301.6859,0,107.2487,-0.0518
0,45,-4.5,-0.0518,301.7063,0,106.9929,-0.0518
0,45,-4.4,-0.0518,301.7262,0,106.7371,-0.0518
0,45,-4.3,-0.0518,301.7456,0,106.4813,-0.0518
0,45,-4.2,-0.0518,301.7646,0,106.2254,-0.0518
0,45,-4.1,-0.0518,301.7832,0,105.9695,-0.0518
0,45,-4,-0.0518,301.8013,0,105.7136,-0.0518
0,45,-3.9,-0.0518,301.819,0,105.4577,-0.0518
0,45,-3.8,-0.0518,301.8362,0,105.2017,-0.0518
0,45,-3.7,-0.0518,301.853,0,104.9457,-0.0518
0,45,-3.6,-0.0518,301.8694,0,104.6896,-0.0518
0,45,-3.5,-0.0518,301.8852,0,104.4335,-0.0518
0,45,-3.4,-0.0518,301.9007,0,104.1775,-0.0518
0,45,-3.3,-0.0518,301.9156,0,103.9213,-0.0518
0,45,-3.2,-0.0518,301.9302,0,103.6652,-0.0518
0,45,-3.1,-0.0518,301.9443,0,103.409,-0.0518
0,45,-3,-0.0518,301.9579,0,103.1528,-0.0518
0,45,-2.9,-0.0518,301.9712,0,102.8966,-0.0518
0,45,-2.8,-0.0518,301.9839,0,102.6403,-0.0518
0,45,-2.7,-0.0518,301.9962,0,102.3841,-0.0518
0,45,-2.6,-0.0518,302.0081,0,102.1278,-0.0518
0,45,-2.5,-0.0518,302.0195,0,101.8715,-0.0518
0,45,-2.4,-0.0518,302.0305,0,101.6151,-0.0518
0,45,-2.3,-0.0518,302.041,0,101.3588,-0.0518
0,45,-2.2,-0.0518,302.0511,0,101.1024,-0.0518
0,45,-2.1,-0.0518,302.0607,0,100.846,-0.0518
0,45,-2,-0.0518,302.0699,0,100.5896,-0.0518
0,45,-1.9,-0.0518,302.0786,0,100.3332,-0.0518
0,45,-1.8,-0.0518,302.0869,0,100.0768,-0.0518
0,45,-1.7,-0.0518,302.0947,0,99.8204,-0.0518
0,45,-1.6,-0.0518,302.1021,0,99.5639,-0.0518
0,45,-1.5,-0.0518,302.109,0,99.3074,-0.0518
0,45,-1.4,-0.0518,302.1155,0,99.0509,-0.0518
0,45,-1.3,-0.0518,302.1216,0,98.7944,-0.0518
0,45,-1.2,-0.0518,302.1272,0,98.5379,-0.0518
0,45,-1.1,-0.0518,302.1323,0,98.2814,-0.0518
0,45,-1,-0.0518,302.137,0,98.0249,-0.0518
0,45,-0.9,-0.0518,302.1413,0,97.7684,-0.0518
0,45,-0.8,-0.0518,302.1451,0,97.5119,-0.0518
0,45,-0.7,-0.0518,302.1484,0,97.2553,-0.0518
0,45,-0.6,-0.0518,302.1514,0,96.9988,-0.0518
0,45,-0.5,-0.0518,302.1538,0,96.7422,-0.0518
0,45,-0.4,-0.0518,302.1558,0,96.4857,-0.0518
0,45,-0.3,-0.0518,302.1574,0,96.2291,-0.0518
0,45,-0.2,-0.0518,302.1585,0,95.9725,-0.0518
0,45,-0.1,-0.0518,302.1592,0,95.716,-0.0518
0,45,-1.88E-14,-0.0518,302.1594,0,95.4594,-0.0518
0,45,0.1,-0.0518,302.1592,0,95.2029,-0.0518
0,45,0.2,-0.0518,302.1585,0,94.9463,-0.0518
0,45,0.3,-0.0518,302.1574,0,94.6897,-0.0518
0,45,0.4,-0.0518,302.1558,0,94.4332,-0.0518
0,45,0.5,-0.0518,302.1538,0,94.1766,-0.0518
0,45,0.6,-0.0518,302.1514,0,93.9201,-0.0518
0,45,0.7,-0.0518,302.1484,0,93.6635,-0.0518
0,45,0.8,-0.0518,302.1451,0,93.407,-0.0518
0,45,0.9,-0.0518,302.1413,0,93.1504,-0.0518
0,45,1,-0.0518,302.137,0,92.8939,-0.0518
0,45,1.1,-0.0518,302.1323,0,92.6374,-0.0518
0,45,1.2,-0.0518,302.1272,0,92.3809,-0.0518
0,45,1.3,-0.0518,302.1216,0,92.1244,-0.0518
0,45,1.4,-0.0518,302.1155,0,91.8679,-0.0518
0,45,1.5,-0.0518,302.109,0,91.6114,-0.0518
0,45,1.6,-0.0518,302.1021,0,91.3549,-0.0518
0,45,1.7,-0.0518,302.0947,0,91.0985,-0.0518
0,45,1.8,-0.0518,302.0869,0,90.842,-0.0518
0,45,1.9,-0.0518,302.0786,0,90.5856,-0.0518
0,45,2,-0.0518,302.0699,0,90.3292,-0.0518
0,45,2.1,-0.0518,302.0607,0,90.0728,-0.0518
0,45,2.2,-0.0518,302.0511,0,89.8164,-0.0518
0,45,2.3,-0.0518,302.041,0,89.56,-0.0518
0,45,2.4,-0.0518,302.0305,0,89.3037,-0.0518
0,45,2.5,-0.0518,302.0195,0,89.0474,-0.0518
0,45,2.6,-0.0518,302.0081,0,88.7911,-0.0518
0,45,2.7,-0.0518,301.9962,0,88.5348,-0.0518
0,45,2.8,-0.0518,301.9839,0,88.2785,-0.0518
0,45,2.9,-0.0518,301.9712,0,88.0222,-0.0518
0,45,3,-0.0518,301.9579,0,87.766,-0.0518
0,45,3.1,-0.0518,301.9443,0,87.5098,-0.0518
0,45,3.2,-0.0518,301.9302,0,87.2536,-0.0518
0,45,3.3,-0.0518,301.9156,0,86.9975,-0.0518
0,45,3.4,-0.0518,301.9007,0,86.7414,-0.0518
0,45,3.5,-0.0518,301.8852,0,86.4853,-0.0518
0,45,3.6,-0.0518,301.8694,0,86.2292,-0.0518
0,45,3.7,-0.0518,301.853,0,85.9732,-0.0518
0,45,3.8,-0.0518,301.8362,0,85.7171,-0.0518
0,45,3.9,-0.0518,301.819,0,85.4612,-0.0518
0,45,4,-0.0518,301.8013,0,85.2052,-0.0518
0,45,4.1,-0.0518,301.7832,0,84.9493,-0.0518
0,45,4.2,-0.0518,301.7646,0,84.6934,-0.0518
0,45,4.3,-0.0518,301.7456,0,84.4375,-0.0518
0,45,4.4,-0.0518,301.7262,0,84.1817,-0.0518
0,45,4.5,-0.0518,301.7063,0,83.9259,-0.0518
0,45,4.6,-0.0518,301.6859,0,83.6702,-0.0518
0,45,4.7,-0.0518,301.6651,0,83.4145,-0.0518
0,45,4.8,-0.0518,301.6439,0,83.1588,-0.0518
0,45,4.9,-0.0518,301.6222,0,82.9031,-0.0518
0,45,5,-0.0518,301.6,0,82.6475,-0.0518
0,45,5.1,-0.0518,301.5775,0,82.392,-0.0518
0,45,5.2,-0.0518,301.5544,0,82.1364,-0.0518
0,45,5.3,-0.0518,301.5309,0,81.8809,-0.0518
0,45,5.4,-0.0518,301.507,0,81.6255,-0.0518
0,45,5.5,-0.0518,301.4827,0,81.3701,-0.0518
0,45,5.6,-0.0518,301.4579,0,81.1147,-0.0518
0,45,5.7,-0.0518,301.4326,0,80.8594,-0.0518
0,45,5.8,-0.0518,301.4069,0,80.6041,-0.0518
0,45,5.9,-0.0518,301.3807,0,80.3489,-0.0518
0,45,6,-0.0518,301.3541,0,80.0937,-0.0518
0,45,6.1,-0.0518,301.3271,0,79.8386,-0.0518
0,45,6.2,-0.0518,301.2996,0,79.5835,-0.0518
0,45,6.3,-0.0518,301.2717,0,79.3285,-0.0518
0,45,6.4,-0.0518,301.2433,0,79.0735,-0.0518
0,45,6.5,-0.0518,301.2145,0,78.8185,-0.0518
0,45,6.6,-0.0518,301.1852,0,78.5637,-0.0518
0,45,6.7,-0.0518,301.1555,0,78.3088,-0.0518
0,45,6.8,-0.0518,301.1253,0,78.054,-0.0518
0,45,6.9,-0.0518,301.0948,0,77.7993,-0.0518
0,45,7,-0.0518,301.0637,0,77.5446,-0.0518
0,45,7.1,-0.0518,301.0322,0,77.29,-0.0518
0,45,7.2,-0.0518,301.0003,0,77.0354,-0.0518
0,45,7.3,-0.0518,300.9679,0,76.7809,-0.0518
0,45,7.4,-0.0518,300.9351,0,76.5265,-0.0518
0,45,7.5,-0.0518,300.9018,0,76.2721,-0.0518
0,45,7.6,-0.0518,300.8681,0,76.0177,-0.0518
0,45,7.7,-0.0518,300.834,0,75.7634,-0.0518
0,45,7.8,-0.0518,300.7993,0,75.5092,-0.0518
0,45,7.9,-0.0518,300.7643,0,75.2551,-0.0518
0,45,8,-0.0518,300.7288,0,75.001,-0.0518
0,45,8.1,-0.0518,300.6929,0,74.7469,-0.0518
0,45,8.2,-0.0518,300.6565,0,74.493,-0.0518
0,45,8.3,-0.0518,300.6197,0,74.2391,-0.0518
0,45,8.4,-0.0518,300.5825,0,73.9852,-0.0518
0,45,8.5,-0.0518,300.5447,0,73.7314,-0.0518
0,45,8.6,-0.0518,300.5066,0,73.4777,-0.0518
0,45,8.7,-0.0518,300.468,0,73.2241,-0.0518
0,45,8.8,-0.0518,300.429,0,72.9705,-0.0518
0,45,8.9,-0.0518,300.3895,0,72.717,-0.0518
0,45,9,-0.0518,300.3496,0,72.4635,-0.0518
0,45,9.1,-0.0518,300.3092,0,72.2102,-0.0518
0,45,9.2,-0.0518,300.2685,0,71.9569,-0.0518
0,45,9.3,-0.0518,300.2272,0,71.7036,-0.0518
