Joint1,Joint2,Joint3,Joint4,X,Y,Z,R
-35.8,0,0,-26.3737,167.6469,-120.9107,135,-62.1737
-35.7,0,0,-26.3737,167.8577,-120.618,135,-62.0737
-35.6,0,0,-26.3737,168.0679,-120.3248,135,-61.9737
-35.5,0,0,-26.3737,168.2777,-120.0313,135,-61.8737
-35.4,0,0,-26.3737,168.4869,-119.7374,135,-61.7737
-35.3,0,0,-26.3737,168.6956,-119.4432,135,-61.6737
-35.2,0,0,-26.3737,168.9038,-119.1486,135,-61.5737
-35.1,0,0,-26.3737,169.1115,-118.8536,135,-61.4737
-35,0,0,-26.3737,169.3187,-118.5583,135,-61.3737
-34.9,0,0,-26.3737,169.5254,-118.2626,135,-61.2737
-34.8,0,0,-26.3737,169.7315,-117.9665,135,-61.1737
-34.7,0,0,-26.3737,169.9372,-117.6701,135,-61.0737
-34.6,0,0,-26.3737,170.1423,-117.3733,135,-60.9737
-34.5,0,0,-26.3737,170.3469,-117.0762,135,-60.8737
-34.4,0,0,-26.3737,170.5509,-116.7787,135,-60.7737
-34.3,0,0,-26.3737,170.7545,-116.4808,135,-60.6737
-34.2,0,0,-26.3737,170.9576,-116.1826,135,-60.5737
-34.1,0,0,-26.3737,171.1601,-115.8841,135,-60.4737
-34,0,0,-26.3737,171.3621,-115.5852,135,-60.3737
-33.9,0,0,-26.3737,171.5635,-115.2859,135,-60.2737
-33.8,0,0,-26.3737,171.7645,-114.9863,135,-60.1737
-33.7,0,0,-26.3737,171.9649,-114.6864,135,-60.0737
-33.6,0,0,-26.3737,172.1648,-114.386,135,-59.9737
-33.5,0,0,-26.3737,172.3642,-114.0854,135,-59.8737
-33.4,0,0,-26.3737,172.563,-113.7844,135,-59.7737
-33.3,0,0,-26.3737,172.7614,-113.483,135,-59.6737
-33.2,0,0,-26.3737,172.9592,-113.1813,135,-59.5737
-33.1,0,0,-26.3737,173.1565,-112.8793,135,-59.4737
-33,0,0,-26.3737,173.3532,-112.5769,135,-59.3737
