Joint1,Joint2,Joint3,Joint4,X,Y,Z,R
0,0.1,50,-0.0518,154.4254,0,22.3912,-0.0518
0,0.2,50,-0.0518,154.661,0,22.3906,-0.0518
0,0.3,50,-0.0518,154.8966,0,22.3896,-0.0518
0,0.4,50,-0.0518,155.1322,0,22.3882,-0.0518
0,0.5,50,-0.0518,155.3678,0,22.3863,-0.0518
0,0.6,50,-0.0518,155.6035,0,22.3841,-0.0518
0,0.7,50,-0.0518,155.8391,0,22.3814,-0.0518
0,0.8,50,-0.0518,156.0747,0,22.3783,-0.0518
0,0.9,50,-0.0518,156.3103,0,22.3748,-0.0518
0,1,50,-0.0518,156.5459,0,22.3709,-0.0518
0,1.1,50,-0.0518,156.7814,0,22.3666,-0.0518
0,1.2,50,-0.0518,157.017,0,22.3618,-0.0518
0,1.3,50,-0.0518,157.2525,0,22.3567,-0.0518
0,1.4,50,-0.0518,157.4881,0,22.3512,-0.0518
0,1.5,50,-0.0518,157.7236,0,22.3452,-0.0518
0,1.6,50,-0.0518,157.9592,0,22.3388,-0.0518
0,1.7,50,-0.0518,158.1947,0,22.332,-0.0518
0,1.8,50,-0.0518,158.4302,0,22.3248,-0.0518
0,1.9,50,-0.0518,158.6657,0,22.3172,-0.0518
0,2,50,-0.0518,158.9012,0,22.3092,-0.0518
0,2.1,50,-0.0518,159.1367,0,22.3008,-0.0518
0,2.2,50,-0.0518,159.3721,0,22.292,-0.0518
0,2.3,50,-0.0518,159.6076,0,22.2827,-0.0518
0,2.4,50,-0.0518,159.843,0,22.273,-0.0518
0,2.5,50,-0.0518,160.0784,0,22.263,-0.0518
0,2.6,50,-0.0518,160.3138,0,22.2525,-0.0518
0,2.7,50,-0.0518,160.5491,0,22.2416,-0.0518
0,2.8,50,-0.0518,160.7845,0,22.2303,-0.0518
0,2.9,50,-0.0518,161.0198,0,22.2186,-0.0518
0,3,50,-0.0518,161.2551,0,22.2064,-0.0518
0,3.1,50,-0.0518,161.4904,0,22.1939,-0.0518
0,3.2,50,-0.0518,161.7257,0,22.181,-0.0518
0,3.3,50,-0.0518,161.9609,0,22.1676,-0.0518
0,3.4,50,-0.0518,162.1961,0,22.1538,-0.0518
0,3.5,50,-0.0518,162.4313,0,22.1397,-0.0518
0,3.6,50,-0.0518,162.6665,0,22.1251,-0.0518
0,3.7,50,-0.0518,162.9016,0,22.1101,-0.0518
0,3.8,50,-0.0518,163.1367,0,22.0947,-0.0518
0,3.9,50,-0.0518,163.3718,0,22.0788,-0.0518
0,4,50,-0.0518,163.6069,0,22.0626,-0.0518
0,4.1,50,-0.0518,163.8419,0,22.046,-0.0518
0,4.2,50,-0.0518,164.0769,0,22.0289,-0.0518
0,4.3,50,-0.0518,164.3119,0,22.0115,-0.0518
0,4.4,50,-0.0518,164.5468,0,21.9936,-0.0518
0,4.5,50,-0.0518,164.7818,0,21.9753,-0.0518
